raw_txt,actual_class,pred_Bert,pred_GPT-3 Zero Shot,pred_GPT-3 FineTuned
Virtually all of those rapes are committed by non-whites .,True,True,True,True
"Stop, drop, roll. Smothers fire.

Works on infants, too.",True,False,False,True
I overheard someone saying a black man stole a motorcycle out of a garage. I ran home to see if mine was still there. Yupp still chained to the wall. Singing and all.,True,True,False,True
"Yes, that 's what I tell Black prostitutes in my neck of the woods when the accost me for a good time !",True,True,True,True
"""I'm gonna start linking to this tweet when someone calls me an idiot as a way of saying """"Bruh I already know that.""""""",False,False,False,False
Congrats to our own Yverson St. Albert on being selected to the Tarrant vs Dallas All Star Game on April 12th! @yversonalbert1,False,False,False,False
Watched one horror movie and now i'm fucking quivering in my boots,False,False,False,False
my chancla broke. fucking 1 day of having it and it broke.,False,False,False,False
"I'm at the coast and walking along the cliff edge... As the path narrows and gets closer to the very edge, I see a young girl crying. So I stop and ask her what's wrong. She says whilst sobbing heavily ""My, my mo, mo, mother has fallen off, I, I, I think she's dead.""
So I look over the edge and sure enough, her mother is at the bottom, all mangled and covered in blood, dead as dead can be.

I turn to the young girl and as I unzip my jeans and pull my cock out, I say ""It's not your lucky day, is it?""",True,True,True,True
"My name is Jafar
I come from afar
I have a bomb in my car
Allahu Akbar ",True,True,True,True
what 's the same about feminism and the holocaust ? they 're both irrelevant and mean nothing to society .,True,True,False,True
They do not want all of us to find out how she was raped and tortured .,False,True,False,False
i like my coffee like i like my black people . <repeat> i fucking hate coffee .,True,False,False,True
"Hi Lovely! @Harry_Styles Your Act Of Kindness &amp; Goodwill Has Become My Best Lifetime Memory. &#129419; ILYSM &amp; I Hope You Follow Me Soon!&#128153; ❥43,280",False,False,False,False
"Long term, Jews are actually worse for your society than niggers. ",True,True,True,True
How are black people like monkeys? They both hang from trees,True,True,True,True
"RT @HelloCupkake: Too many good single girls, too many hoes taken.",True,True,False,True
If you ever hated on me... bitch naw I don't fuck wit you,True,True,False,True
I caught my ex cheating on me recently but she refused to admit fault I guess pride isn't the only thing she's been swallowing lately,False,True,False,True
What's the best thing that came out of Auschwitz? An empty train,True,True,True,True
"I painted my computer black hoping it’d run faster, but now it doesn’t work.",True,False,False,False
"Simply adding to the fleet..Just got the GLE! No way could I replace it, I love it to bits. The new M157 engine is a beast.",False,False,False,False
why are women like clouds ? because they dampen your day when they 're around but once they 're gone the day is much better .,True,True,False,True
Chicago niggas tell bitches anything when they tryna do dat mfa..!!&#128553;&#128514;&#128514; https://t.co/tJONJlJyM4,True,True,True,True
"Going to buy some timbs, Air Force 1s, other Nike shoes and idk. I feel the need to expand. OK goodnight for real now",False,False,False,False
I JUST WANT TO FINISH GETTING ALL MY SHIT OUT OF MY ROOM SO I DONT HAVE TO STRESS ABOUT MOVING EVERYTHING,False,True,False,False
i got arrested for killing a black man . they charged me for impersonating a police officer .,True,True,False,True
I did the whole rainbow inspired hair colors from ages 14 - 17 .,False,False,False,False
Whats the difference between a tweaker and a black person? The tweaker started out as a good person,True,False,False,True
"""A priest or doctor should flatter no one, but boldly rebuke all, lest he destroy both himself and those who hear him.""",False,False,False,False
This bitch in here putting long lashes on like a 3abde,True,True,True,True
The Underground show that I will forever be associated with.... It's name is a FUCKING METALLICA REFERENCE?!,False,True,False,False
What's the difference between a black person and a bicycle? The bicycle doesn't start singing when you put chains on it.,True,False,True,True
Actually I never had too many women until I became a white nationalist .,True,True,False,True
Y se acab&#243;!! Mexico wins 3-0! That's my team bitches &#10084;&#65039;&#128154; #VIVAMEXICO,False,True,False,True
"Now now lets not discriminate between muslims and jews , I say get them all back to the middle east and turn the whole sand pit to radioactive glass .",True,True,True,True
"when i was in t - ball as a kid , i could tell my coach was catholic as soon as i joined the team from the way he molested me the same way my priest did . i mean like to a t.",True,False,True,True
"If women weren't meant to be sluts, Eve wouldn't have fucked the first guy she met",True,True,True,True
How do you make a baby explode You convert it to islam,True,True,False,True
How did Jews save money on remote communication during WW2? They used smoke signals.,True,False,False,True
My Instagram song ain't bout me postin pictures it's about how hoes not allowed to post pictures of me and I ain't posting none of them &#128076;,False,True,False,False
"Your boobs are fake, you're a little bitch, you're not cute, and I want to punch you.",True,True,True,True
"It's not rape If you yell ""Surprise!""",True,True,False,True
Cisgender people like you...,True,True,False,False
r/justneckbeardthings makes fun of a guy again for existing while being overweight/ not attractive.,True,False,True,False
Why are black men so fast? Cause they already caught the slow ones...,True,True,True,True
What do you call an orgy of retards? Veggie salad.,True,True,False,True
"RT @LifeAsABabe: be a girl with a mind, a princess with class, &amp; a bitch that doesn't give a fuck. &#128081;&#9996;&#128139;",False,True,False,False
"""""""i'm in love with you, and i'm not in the business of denying myself the simple pleasure of saying true things."""" -The Fault in Our Stars""",False,False,False,False
"F*ck off Arsene, get out and @Arsenal @PUMA@GatoradeUK @CitroenUK @CooperTire @Europcar @IndesitUK@Vitality_UK #NoNewContract #WengerOut",True,True,False,False
that it's strongest and greatest growth was in the cities of the Empire. the word pagan refers to the unconverted folks in the countryside.,False,True,False,False
the fucking thought of you with somebody else I don't like that,True,False,True,False
RT @UNCLERUCKUS_BD: Being a nigger isn't a color it's a state of mind,True,True,True,True
"A black guy and Mexican were in a car, Who is driving? The Cop",True,True,False,True
why do jews get circumcised ? jewish women wo n't touch anything that is n't <number>  off .,True,True,False,True
"women are gay
women are all lesbians and thats why they feel no compassion for men they use us for status and then go eat psusy its gay",True,True,True,True
"A Black kid complemented my T-shirt He said: Nice shirt faggot... I said yeah, it’s 100% cotton. Tell your grandparents I said thanks",True,True,False,True
"Steven hawking death joke What was Steven Hawkings last word?
Windows XP shutdown sound",True,False,False,False
"I got the money by myself I don't need help with them bands,god I can handle my enemies jus protect me from my friends&#128175;",False,False,False,False
Over 2000 people went to Vegas to meet Jason Aldeen 58 also got to meet Tom Petty.,True,False,False,False
Why is it called a murder of crows? Cause thats what usually happens when a bunch of blacks get together,True,True,True,True
Lmfao right!..RT @kohkohbxtchzz: You knew you was sidechick. Stop hating hoe.,True,True,False,True
What do you do when you are done fucking the tightest pussy? You put it back in the womb.,True,True,False,True
"the Marriott Resort, Sundowners, Senor Frijoles, Jimmy Johnson's Big Chill and the Caribbean Club",False,True,False,False
"Education system is messed up for the same reason everything else is messed up - Jews , non-whites and liberal women run and ruin everything .",True,True,True,True
Just started watching 13 Reasons Why on Netflix. Guess I will not be getting out of bed for the rest of the day then?! &#128514;,False,False,False,False
gander mountain told me there is no money in it surely there is some where what a great trade it would be,False,False,False,False
"You people make a lot of those, don't you?",False,True,False,False
"The ""Sleeping Giant"" everyone always refers to is actually White Nationalism...

",False,True,True,False
What's the only warm organ inside a deceased female body? My Dick. (it's not illegal if the cops don't know about it),True,True,False,True
"A Jewish toddler drowned recently. He threw a penny into a fountain, hoping it gave him a wish. 

His parents then chucked him angrily into the water to get it back.",True,False,False,True
You gotta learn to cope in a world that's fucked up and twisted,False,False,False,False
9th grade I done stole my daddy weed had him mad as hell,False,False,False,False
"I want to write an Incel Fanfiction
Give me ideas

Unless they're fucking shitty ideas.",False,True,False,False
What's better than a gold medal at the Paralympics? Legs,True,False,False,True
"i 'm a muslim man with a muslim wife . <repeat> . <repeat> he other day my wife called me a paedophile , so i said "" that 's a big word for a five year old """,True,False,False,True
Watching this annoying ass man makes me want to never eat another pizza...... #my600lblife tlc,False,True,False,False
r/starterpacks creates an incel starterpack that makes 0 sense.,False,False,False,False
What do you call a jewish pokemon trainer Ash.,True,False,False,True
I read in the paper today that they are `` concidering '' hate crime charges .,False,True,False,False
"tfw you are the first failure in a winning streak of evolutionary successes going back thousands of years
feels bad man.",False,False,False,False
lock that bitch too&#8230; keep the heat out RT @Ms_Marrie: SHUT THE FRONT DOOR!,True,True,True,True
"""the most dangerous thing in the world is a young single male with no future""",False,False,False,False
"@colm_f1 @Kilsally Well, NI seems stuck. RoI doesn't want it. Westminster views it as a burden. It'll have to help itself, I think.",False,False,False,False
Np Blessing - @RawNwanne ft @2niteFlavour // On #LetsTalk With @mickeyngene1 &amp; @Amakacindy1 #InspireMyTuesday #NightFeel,False,False,False,False
What is an Ethiopian's favorite videogame? Don't Starve,True,False,False,True
Why is the monkey sad ? Just learned that it will be a nigger in a million years.,True,True,True,True
I like my women like I like my toasters  turned on and in the bath with me,True,True,False,True
Have you ever had Ethiopian cuisine? Neither have they.,True,True,False,True
"And BLL opening credits music by Michael Kiwanuka, Cold Little Heart ❤️&#128076;&#127926;(music video with Keith Stanfield also excellent).",False,False,False,False
"A subreddit meant for guys who get cucked to come together and talk about it
If you go to the sub r/deadbedrooms its literally guys who are in relationships were they get cucked because the women only want them for their money and support.",True,True,False,False
"i woke up bc period cramps, holy shit what terrible pain",False,False,False,False
i like my pizza the same way i like my jews . <repeat> thin and crispy .,True,True,False,True
what 's the difference between a jew and a bullet ? a bullet can escape the chamber,True,True,False,True
A Jew walks in to a bar And then the metal door closes behind him,True,False,False,True
HAHAHAHA @Mr9iceGuY: a woman SHOULD NOT be proposing to a man under no circumstances b..u cant tell me nothing. call me sexist idccccc,True,True,False,True
Vince you fucked up. Now turn Roman heel. #Wrestlemania,False,True,False,False
"They will never get anywhere , they 're just as bad if not worse than the BNP in respect to how stigmatized their name is .",False,True,True,False
"Bus driver:: Wow, you've been enjoying the sun a lot lately, you're all tanned! Me (mixed ethnicity young woman):: No, that's just my colour. It happens a lot when I meet new people, or even strangers. I get the popular ''where are you from?'' but a lot of comments about going to the tanning salon, coming back from a vacation, laying in the sun, etc. Makes me sad that people give so much importance to skin colour and feel entitled to ask a complete stranger to explain why their skin is the colour it is. Sometimes I wish I was either South Asian or Caucasian, but not both because then I need to do a lot of explaining and people ooooh and aaahhh as if I was talking about dog breeds.",False,False,False,False
While talking to a co-worker over our break... Co-Worker:: Why do you have all those State Park brochures? Me:: I want to get into camping. I never did much of that growing up. Co-Worker:: You should find an outdoorsy guy to date! Then he can teach you all that stuff. I am a queer woman who is not interested in men.,False,True,False,False
Did you hear that they transformed Madame Tussauds into a place where children get beaten? It's a whacks museum,True,True,False,True
What do you call 1000 drowned niggers? A good start,True,True,True,True
Donating blood tomorrow. Pretty sure that I bleed twitter JSON metadata at this point.,False,False,False,False
"Woman takes advantage of her husband, performs deviant act on him despite him saying he was against it beforehand (practically rape)",False,True,True,False
"Always remember that children can drown in as little as an inch of water So please, if you are drowning children, don't waste water.",True,True,False,True
I was craving chicken nuggets so fucking bad. Thank u morning star for ur veggie nuggest even tho that wheat allergy will bite me in the ass,False,False,False,False
9/11 jokes always seem good in the beginning But then they come crashing down,True,True,False,True
"""When people say """"you've changed"""" there's a 95% chance that you just stopped acting the way they wanted you to.""",False,False,False,False
"I don't know why the Natives are so mad at us... I mean, we were so nice to them. We even gave them blankets!",True,False,False,True
The fuck's up with the bot saying white people can't comment?,False,True,True,False
Why did the sun never set on the British Empire? Even God didn't trust the English in the dark.,False,False,False,True
Pumpkin spice Marlboro's for da hoes,True,True,False,True
"NO HE IS NOT GONNA FUCKING DIE, NOT TEMPORARILY NOT EVER #TheOriginals",False,True,False,False
trump has been fucking toxic from the start and you fucks who voted for him are just NOW seeing this? IT TOOK YOU THIS LONG #PrayForSyria,True,False,False,True
"Just the content of the tweet, not the name of the person that sent it. Pref with a screenshot.",False,False,False,False
What's the American national bird? The desert eagle.,False,False,False,True
How do you make a 4 year old cry twice? Wipe your bloody dick on their teddy bear,True,True,True,True
"No, I'm not telling anyone what their score is. Then it'll just turn into a contest for GamerGate to try to 'win'.",False,False,False,False
"Today I laughed
A normie told me ""the sad moments give you just as much as the happy moments"" and wasn't even trying to troll me.",False,False,False,False
FJSJHDSJSHSH LRT HE BLESSES THE FUCKING STORE IM SCREAMING,False,True,False,False
"Bhopal Gas Tragedy killed 15000 Indians Yeah while you are here, please send bob",True,True,False,True
"How is Hoss McDank like Oprah? They're both fat, worthless NIGGERS.",True,True,True,True
I act like I don't fucking care. But I'm so fucking scared.,False,False,False,False
[ &#128140; ] ting tong! — @tinqeubels “ you're verified as keira ” put baelats on your profile &#127769; https://t.co/jJjoyYaXd6,False,False,False,False
Thegambler is a incel xdddddd not a Chad xdddd Do not ban him mods xdddd,False,False,False,False
"These guys took offence earlier because I said ""midget"" instead of ""little person"". I was forced to restart my story. I said, ""OK, so I was fucking this dead little person...""",True,False,True,True
I meet a lot Chechen 's a few weeks back i was shocked to see how light skinned they were and they had light brown hair and blue eyes and had European facial features .,False,False,False,True
I support Ghazi as one of the few safe venting spaces for many people that are victims of GamerGate's harassment.,False,False,False,False
you want to hear a joke ? women 's rights,True,True,False,True
"Permanent dark circles under the eye
is one of the surest way of spoting the loner.",False,False,False,False
Are you white but wanna be black? Just follow the Jews footsteps.,True,True,False,True
Want to bend @sophialares over the desk and fill her with my hot cum before fucking the sexy mouth of @LucieBrooksUK,True,True,False,True
Labour started as a party for 'the people' and under @jeremycorbyn it seems to represent an ideology that would see said people destroyed,True,False,False,True
"Not All Straight Men - I am frustrated. Unlike on OKCupid, queer folks don&#8217;t have the ability to block... http://t.co/hBF2xZa0ke",False,True,False,False
"My dad was salty he failed no nut November My dad was salty he failed no nut November

So he forced me to lose too. ",False,False,False,False
"There is no doubt in my mind that the #LegacyMedia and academia are intentionally indoctrinating the population with ""White Guilt"" in every Western nation in a subversive attempt to usher in Communism.

",True,True,True,True
F3701: Japanese Wooden Lacquer ware Drawer CHEST OF DRAWERS Buddhist art https://t.co/o27FzZe4K3 https://t.co/xUndhvDDxe,False,False,False,False
"Just bout gave up on this season of Big Brother 19 because of Paul, Raven, Elena, and Mark just can't deal with them anymore so I'm focusing more on SURVIVOR and also easing my way catching up on Wrestling also other Pop Culture shows and stuff ",False,False,False,False
